id,name,description,imageurl,releaseDate,creationDate,discontinuedDate,price,heightt,width,depth,quantity
7b7f5b3a-7c6d-4d5d-8c01-0e6c6a7b8a01,Dell Latitude 5440,"Business laptop with Intel Core i5, 16GB RAM and 512GB SSD",https://example.com/images/dell-latitude-5440.jpg,2024-01-15T09:00:00Z,2024-01-10T10:30:00Z,,899.90,2.10,32.10,21.20,25
a1e8d2c4-9f6b-4a11-b2c3-5e7d8f9a0b12,Lenovo ThinkPad E14,Compact business laptop for daily office work,https://example.com/images/lenovo-thinkpad-e14.jpg,2024-02-01T08:30:00Z,2024-01-28T11:15:00Z,,749.50,1.90,31.20,22.40,18
c3f9b6a2-0d1e-4f8a-9b7c-2a4d6e8f0c34,HP EliteBook 840,Premium business notebook with high security features,https://example.com/images/hp-elitebook-840.jpg,2024-03-10T10:00:00Z,2024-03-01T09:45:00Z,,1099.99,1.80,32.30,21.50,12
d4a7c9e1-2b3f-4e5a-8c6d-1f0a2b3c4d56,Samsung 27 Monitor,Full HD office monitor with HDMI and DisplayPort,https://example.com/images/samsung-27-monitor.jpg,2023-11-20T07:45:00Z,2023-11-15T13:00:00Z,,219.00,36.30,61.20,18.50,40
e5b8d0f2-3c4a-4b6d-9e7f-2a1b3c4d5e67,Logitech MX Master 3S,Wireless ergonomic mouse for productivity,https://example.com/images/logitech-mx-master-3s.jpg,2023-09-05T12:00:00Z,2023-08-30T15:20:00Z,,99.90,5.10,8.40,12.50,75
f6c9e1a3-4d5b-4c7e-8f90-3b2c4d5e6f78,Apple Magic Keyboard,Wireless keyboard with rechargeable battery,https://example.com/images/apple-magic-keyboard.jpg,2023-07-18T09:30:00Z,2023-07-10T10:10:00Z,,119.00,1.10,27.90,11.50,30
0a7d2b4c-5e6f-4a8b-9c01-4d3e5f6a7b89,Jabra Evolve2 65,Wireless headset for meetings and calls,https://example.com/images/jabra-evolve2-65.jpg,2024-04-12T14:00:00Z,2024-04-01T08:00:00Z,,189.99,18.60,15.70,6.00,22
1b8e3c5d-6f70-4b9c-8d12-5e4f6a7b8c90,Anker USB-C Hub,"USB-C docking hub with HDMI, Ethernet and USB ports",https://example.com/images/anker-usb-c-hub.jpg,2023-10-25T11:00:00Z,2023-10-20T09:25:00Z,,59.95,1.60,12.00,5.50,60
2c9f4d6e-7081-4cad-9e23-6f5a7b8c9d01,Canon PIXMA Printer,Multifunction inkjet printer for home office,https://example.com/images/canon-pixma-printer.jpg,2022-06-15T08:00:00Z,2022-06-01T12:40:00Z,2025-12-31,129.49,14.50,43.50,31.60,10
3d0a5e7f-8192-4dbe-8f34-7a6b8c9d0e12,Brother Laser Printer,Monochrome laser printer for small offices,https://example.com/images/brother-laser-printer.jpg,2023-05-22T10:45:00Z,2023-05-15T16:30:00Z,,179.00,18.30,35.60,36.00,16
4e1b6f80-92a3-4ecf-9a45-8b7c9d0e1f23,Seagate 2TB External HDD,Portable external hard drive with USB 3.0,https://example.com/images/seagate-2tb-hdd.jpg,2023-02-08T09:15:00Z,2023-02-01T11:00:00Z,,74.99,1.50,8.00,11.70,55
5f2c7081-a3b4-4fd0-8b56-9c8d0e1f2a34,SanDisk 128GB USB Drive,Compact USB flash drive for daily data transfer,https://example.com/images/sandisk-128gb-usb.jpg,2022-12-05T13:30:00Z,2022-11-28T14:15:00Z,,18.90,0.80,2.00,5.60,120

